5000001,0.27
10000001,0.55
15000002,0.83
20000003,1.11
25000005,1.32
30000007,1.59
35000010,1.84
40000013,2.15
45000017,2.38
50000021,2.66
55000026,3.0
60000031,3.19
65000037,3.45
70000043,3.68
75000050,3.92
80000057,4.19
85000065,4.52
90000073,4.77
95000082,4.96
100000091,5.27
1000000910,54.34
1005000920,53.6
1010000931,54.86
1015000942,54.7
1020000954,55.55
1030000979,55.82
1035000992,56.18
1040001006,55.83
1045001020,56.01
1050001035,57.25
1055001050,57.97
1060001066,58.27
1065001082,57.09
1070001099,55.17
1075001116,55.31
1080001134,55.59
1085001152,56.32
1090001171,56.67
1095001190,54.04
10950011900,1048.35
10955011920,1047.47
10960011941,1046.68
10965011962,1044.92
10970011984,1044.85
10975012006,1047.76
10980012029,1046.01
10985012052,1046.9
10990012076,1049.09
10995012100,1046.88
11000012125,1047.44
11005012150,1050.09
11010012176,1048.63
11015012202,1049.11
11020012229,1049.22
11025012256,1050.32
11030012284,1048.81
11035012312,1049.62
11040012341,1052.04
11045012370,1049.59
110450123700,10608.59
110455123730,10633.97
